CENTRAL POLLUTION CONTROL BOARD,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,
"Date: Thursday, Jan 28 2021",,,,,,,
Time: 04:26:24 PM,,,,,,,
Station,"Rabindra Sarobar, Kolkata - WBPCB",,,,,,
Parameter,"NO2,CO,Temp,RH,CO2,Power",,,,,,
AvgPeriod,1 Hours,,,,,,
From,01-09-2019 T00:00:00Z 00:00,,,,,,
To,01-01-2021 T12:00:59Z 00:00,,,,,,
,,,,,,,
"Rabindra Sarobar, Kolkata - WBPCB",,,,,,,
 , ,Rabindra Sarobar  Kolkata - WBPCB , , , , ,
From Date,To Date,NO2,CO,Temp,RH,CO2,Power
01-09-2019 00:00,01-09-2019 01:00,14.09,0.24,,88.26,,
01-09-2019 01:00,01-09-2019 02:00,11.77,0.14,,93.53,,
01-09-2019 02:00,01-09-2019 03:00,11.29,0.17,,96.11,,
01-09-2019 03:00,01-09-2019 04:00,12.72,0.18,,98.77,,
01-09-2019 04:00,01-09-2019 05:00,16.09,0.2,,97.89,,
01-09-2019 05:00,01-09-2019 06:00,18.3,0.26,,97.46,,
01-09-2019 06:00,01-09-2019 07:00,16.43,0.34,,95.76,,
01-09-2019 07:00,01-09-2019 08:00,19.24,0.37,,90.85,,
01-09-2019 08:00,01-09-2019 09:00,19.58,0.41,,86.74,,
01-09-2019 09:00,01-09-2019 10:00,22.21,0.37,,81.62,,
01-09-2019 10:00,01-09-2019 11:00,21.52,0.43,,89.52,,
01-09-2019 11:00,01-09-2019 12:00,19.94,0.47,,82.67,,
01-09-2019 12:00,01-09-2019 13:00,17.71,0.43,,79.69,,
01-09-2019 13:00,01-09-2019 14:00,19.96,0.41,,74.51,,
01-09-2019 14:00,01-09-2019 15:00,15.58,0.33,,78.6,,
01-09-2019 15:00,01-09-2019 16:00,23.27,0.48,,80.46,,
01-09-2019 16:00,01-09-2019 17:00,17.78,0.41,,86.51,,
01-09-2019 17:00,01-09-2019 18:00,32.47,0.63,,93.15,,
01-09-2019 18:00,01-09-2019 19:00,38.62,0.56,,98.08,,
01-09-2019 19:00,01-09-2019 20:00,24.3,0.39,,98.95,,
01-09-2019 20:00,01-09-2019 21:00,15.88,0.29,,98.95,,
01-09-2019 21:00,01-09-2019 22:00,19.11,0.33,,98.94,,
01-09-2019 22:00,01-09-2019 23:00,17.28,0.39,,98.96,,
01-09-2019 23:00,02-09-2019 00:00,19.95,0.43,,98.96,,
02-09-2019 00:00,02-09-2019 01:00,18.45,0.39,,98.96,,
02-09-2019 01:00,02-09-2019 02:00,14.32,0.35,,98.96,,
02-09-2019 02:00,02-09-2019 03:00,12.39,0.3,,98.96,,
02-09-2019 03:00,02-09-2019 04:00,8.41,0.22,,98.96,,
02-09-2019 04:00,02-09-2019 05:00,8,0.17,,98.96,,
02-09-2019 05:00,02-09-2019 06:00,7.31,0.13,,98.96,,
02-09-2019 06:00,02-09-2019 07:00,12.92,0.37,,98.94,,
02-09-2019 07:00,02-09-2019 08:00,14.68,0.31,,94.41,,
02-09-2019 08:00,02-09-2019 09:00,11.89,0.23,,89.76,,
02-09-2019 09:00,02-09-2019 10:00,7.76,0.17,,83.63,,
02-09-2019 10:00,02-09-2019 11:00,15,0.15,,76.32,,
02-09-2019 11:00,02-09-2019 12:00,9.5,0.14,,69.58,,
02-09-2019 12:00,02-09-2019 13:00,7.21,0.14,,67.07,,
02-09-2019 13:00,02-09-2019 14:00,7.34,0.12,,63.68,,
02-09-2019 14:00,02-09-2019 15:00,6.25,0.14,,68.85,,
02-09-2019 15:00,02-09-2019 16:00,8.38,0.14,,82.43,,
02-09-2019 16:00,02-09-2019 17:00,14.71,0.23,,92.1,,
02-09-2019 17:00,02-09-2019 18:00,15.78,0.22,,91.51,,
02-09-2019 18:00,02-09-2019 19:00,15.82,0.26,,91.96,,
02-09-2019 19:00,02-09-2019 20:00,19.13,0.54,,96.26,,
02-09-2019 20:00,02-09-2019 21:00,16.55,0.46,,96.36,,
02-09-2019 21:00,02-09-2019 22:00,17.28,0.43,,94.37,,
02-09-2019 22:00,02-09-2019 23:00,12.45,0.24,,98.71,,
02-09-2019 23:00,03-09-2019 00:00,13.61,0.25,,98.93,,
03-09-2019 00:00,03-09-2019 01:00,13.73,0.15,,98.97,,
03-09-2019 01:00,03-09-2019 02:00,6.67,0.04,,98.96,,
03-09-2019 02:00,03-09-2019 03:00,7.53,0.05,,98.96,,
03-09-2019 03:00,03-09-2019 04:00,8.04,0.09,,98.96,,
03-09-2019 04:00,03-09-2019 05:00,8.24,0.07,,98.96,,
03-09-2019 05:00,03-09-2019 06:00,11.48,0.11,,98.96,,
03-09-2019 06:00,03-09-2019 07:00,12.71,0.16,,98.82,,
03-09-2019 07:00,03-09-2019 08:00,12.71,0.18,,94.84,,
03-09-2019 08:00,03-09-2019 09:00,14.3,0.18,,91.25,,
03-09-2019 09:00,03-09-2019 10:00,16.75,0.09,,81.23,,
03-09-2019 10:00,03-09-2019 11:00,15.38,0.11,,78.61,,
03-09-2019 11:00,03-09-2019 12:00,13.52,0.13,,84.35,,
03-09-2019 12:00,03-09-2019 13:00,12.44,0.13,,78.28,,
03-09-2019 13:00,03-09-2019 14:00,11.98,0.17,,80.77,,
03-09-2019 14:00,03-09-2019 15:00,12.43,0.2,,79.24,,
03-09-2019 15:00,03-09-2019 16:00,10.86,0.17,,84.4,,
03-09-2019 16:00,03-09-2019 17:00,11.75,0.18,,86.7,,
03-09-2019 17:00,03-09-2019 18:00,12.99,0.19,,89.07,,
03-09-2019 18:00,03-09-2019 19:00,15.7,0.2,,98.75,,
03-09-2019 19:00,03-09-2019 20:00,21.09,0.29,,97.66,,
03-09-2019 20:00,03-09-2019 21:00,22.23,0.33,,98.11,,
03-09-2019 21:00,03-09-2019 22:00,21.45,0.45,,98.87,,
03-09-2019 22:00,03-09-2019 23:00,17.58,0.39,,98.67,,
03-09-2019 23:00,04-09-2019 00:00,15.02,0.32,,98.93,,
04-09-2019 00:00,04-09-2019 01:00,11.67,0.17,,98.84,,
04-09-2019 01:00,04-09-2019 02:00,7.35,0.07,,98.63,,
04-09-2019 02:00,04-09-2019 03:00,6.27,0.06,,97.87,,
04-09-2019 03:00,04-09-2019 04:00,5.31,0.05,,97.51,,
04-09-2019 04:00,04-09-2019 05:00,5.02,0.04,,98.43,,
04-09-2019 05:00,04-09-2019 06:00,8.54,0.06,,98.9,,
04-09-2019 06:00,04-09-2019 07:00,10.52,0.11,,97.69,,
04-09-2019 07:00,04-09-2019 08:00,6.93,0.11,,90.65,,
04-09-2019 08:00,04-09-2019 09:00,6.99,0.12,,90.43,,
04-09-2019 09:00,04-09-2019 10:00,6.77,0.14,,81.25,,
04-09-2019 10:00,04-09-2019 11:00,7.71,0.16,,77.6,,
04-09-2019 11:00,04-09-2019 12:00,7.73,0.17,,78.55,,
04-09-2019 12:00,04-09-2019 13:00,10.61,None,,79.21,,
04-09-2019 13:00,04-09-2019 14:00,7.4,None,,82.5,,
04-09-2019 14:00,04-09-2019 15:00,10.23,0.27,,81.31,,
04-09-2019 15:00,04-09-2019 16:00,8.89,0.27,,82.46,,
04-09-2019 16:00,04-09-2019 17:00,10.81,0.27,,79.65,,
04-09-2019 17:00,04-09-2019 18:00,9.68,0.2,,74.4,,
04-09-2019 18:00,04-09-2019 19:00,11.28,0.23,,77.48,,
04-09-2019 19:00,04-09-2019 20:00,13.46,0.3,,81.6,,
04-09-2019 20:00,04-09-2019 21:00,14.89,0.31,,85.46,,
04-09-2019 21:00,04-09-2019 22:00,11.8,0.23,,86.6,,
04-09-2019 22:00,04-09-2019 23:00,9.05,0.19,,87.41,,
04-09-2019 23:00,05-09-2019 00:00,7.59,0.16,,88.44,,
05-09-2019 00:00,05-09-2019 01:00,5.27,0.14,,88.72,,
05-09-2019 01:00,05-09-2019 02:00,3.81,0.08,,90,,
05-09-2019 02:00,05-09-2019 03:00,3.3,0.1,,90.55,,
05-09-2019 03:00,05-09-2019 04:00,3.96,0.1,,92.53,,
05-09-2019 04:00,05-09-2019 05:00,4.72,0.1,,93.24,,
